review,rating,date,bank,source
መቸሸጠ,5,2025-06-03,Dashen Bank,Google Play
wow,5,2025-06-03,Dashen Bank,Google Play
gadaa,5,2025-06-01,Dashen Bank,Google Play
Massive upgrade from the Amole app.,5,2025-05-31,Dashen Bank,Google Play
good,4,2025-05-31,Dashen Bank,Google Play
very good for this app,5,2025-05-31,Dashen Bank,Google Play
top,5,2025-05-31,Dashen Bank,Google Play
this app better than Amole . but the biometric on new update doesn't work,4,2025-05-31,Dashen Bank,Google Play
Wow,5,2025-05-30,Dashen Bank,Google Play
wow to it saff and this app,5,2025-05-30,Dashen Bank,Google Play
it too slow,3,2025-05-29,Dashen Bank,Google Play
ዳሽን ባንክ ይለያል,4,2025-05-28,Dashen Bank,Google Play
real life changer,5,2025-05-28,Dashen Bank,Google Play
👍👍👍,5,2025-05-28,Dashen Bank,Google Play
nice application,5,2025-05-27,Dashen Bank,Google Play
useless app ever loading take long,1,2025-05-27,Dashen Bank,Google Play
"Game changer app! Dashen Bank Super App is fast, secure, and easy to use. The three-click payment makes sending money super quick, and the QR code payment is perfect for cashless shopping. I also love the biometric login and easy airtime and bill payments. Everything I need is in one place. Dashen Bank has really raised the bar for digital banking in Ethiopia. Highly recommended!",5,2025-05-26,Dashen Bank,Google Play
very useful App,1,2025-05-26,Dashen Bank,Google Play
"Simple, robust features? Yes, please! But the endless loading screen killed the fun—I couldn’t use it for days. Fix the glitch, and I’ll yeet a higher rating!",2,2025-05-26,Dashen Bank,Google Play
Wawww,5,2025-05-24,Dashen Bank,Google Play
it is good but some times says duplicate transaction why?,5,2025-05-24,Dashen Bank,Google Play
very Nice,5,2025-05-23,Dashen Bank,Google Play
its best,5,2025-05-23,Dashen Bank,Google Play
it is not as good as to the other mobile bank app.,1,2025-05-22,Dashen Bank,Google Play
"The best of best is now arrived **Empowering Your Financial Freedom** ""Experience seamless banking at your fingertips with Dashen Bank. Empowering your financial freedom, anytime, anywhere!"" **Innovation Meets Convenience** ""Dashen Bank Mobile Banking: Where innovation meets convenience. **Secure and Reliable** ""Bank with confidence",5,2025-05-22,Dashen Bank,Google Play
Nothing is changed in the updated version. You have been collecting comments but where is the feed back you improved in this version. superapp is mot functioning today.,4,2025-05-20,Dashen Bank,Google Play
The best app ever in finance sector,5,2025-05-18,Dashen Bank,Google Play
Its good app than other compitators but it confuse when we transfer it needs OTP and PIN most user inter their pin instead of OTP we know the litrecy level of our society so if it is device based i dont know the needs of OTP so please try to fix,3,2025-05-18,Dashen Bank,Google Play
dashen bank or dashen super app?,1,2025-05-17,Dashen Bank,Google Play
wowwwe app,5,2025-05-17,Dashen Bank,Google Play
"Transferring to other bank accounts is a hastle and inconvenient .Get used to seeing "" please try again """,2,2025-05-17,Dashen Bank,Google Play
always lagging,1,2025-05-16,Dashen Bank,Google Play
Amazing Application...,5,2025-05-16,Dashen Bank,Google Play
Fantastic,5,2025-05-16,Dashen Bank,Google Play
"Dashen bank app is very good, but sometimes it is not working well",5,2025-05-15,Dashen Bank,Google Play
its my choice,5,2025-05-15,Dashen Bank,Google Play
wow apo,5,2025-05-15,Dashen Bank,Google Play
awesome app keep going,5,2025-05-14,Dashen Bank,Google Play
👍,5,2025-05-14,Dashen Bank,Google Play
"It grows ethiopian digital banking step ahead.All fetures in one,simple fast and convince.",5,2025-05-14,Dashen Bank,Google Play
Game changer,5,2025-05-13,Dashen Bank,Google Play
Totally amazing,5,2025-05-13,Dashen Bank,Google Play
super 😎,5,2025-05-13,Dashen Bank,Google Play
what a helpful app!!!!,5,2025-05-13,Dashen Bank,Google Play
Good,4,2025-05-13,Dashen Bank,Google Play
nice,5,2025-05-13,Dashen Bank,Google Play
"To be honest, best banking and lifestyle app in Ethiopia.",5,2025-05-12,Dashen Bank,Google Play
fast,5,2025-05-12,Dashen Bank,Google Play
"A must have, seamless, all in one digital platform ""DB Superapp""! Keep living your motto ""Always one step ahead""",5,2025-05-12,Dashen Bank,Google Play
"This App makes digital banking effortless and convenient. User-friendly interface, secure transactions, and excellent features for managing finances efficiently.",4,2025-05-10,Dashen Bank,Google Play
Amazing app super easy to use and best design. loved it.,5,2025-05-09,Dashen Bank,Google Play
its the best ever,5,2025-05-09,Dashen Bank,Google Play
excellent game changer App,5,2025-05-08,Dashen Bank,Google Play
I am highly excited by using this application and it is the most favorable as well as preferrable mobile app.,5,2025-05-03,Dashen Bank,Google Play
it seems me logging out within minutes,1,2025-05-03,Dashen Bank,Google Play
nice app especially GUI and I have got some error when you send within dashen bank the receipter is not get SMS notification,4,2025-05-03,Dashen Bank,Google Play
yes i want dashen super open,5,2025-05-02,Dashen Bank,Google Play
Best App,5,2025-05-02,Dashen Bank,Google Play
faster than this version,5,2025-05-01,Dashen Bank,Google Play
"Best UI mobile banking app, props to design team",5,2025-04-30,Dashen Bank,Google Play
thank you,4,2025-04-30,Dashen Bank,Google Play
great app,5,2025-04-30,Dashen Bank,Google Play
bad.,1,2025-04-30,Dashen Bank,Google Play
Dashen bank always one step ahead,5,2025-04-30,Dashen Bank,Google Play
dashen super app is secure band very easy,5,2025-04-29,Dashen Bank,Google Play
It is very fast and secured mobile banking app! I like this app!,5,2025-04-29,Dashen Bank,Google Play
best app I have ever seen,5,2025-04-29,Dashen Bank,Google Play
best of best,5,2025-04-29,Dashen Bank,Google Play
waw,5,2025-04-28,Dashen Bank,Google Play
best app,5,2025-04-28,Dashen Bank,Google Play
Its slow when i try to see the Recent Transaction and stucked,1,2025-04-28,Dashen Bank,Google Play
wowslnwoooo wowwww amazing !!!!!!!!,5,2025-04-28,Dashen Bank,Google Play
wow appl,5,2025-04-28,Dashen Bank,Google Play
why do i have to change a pin number i use my finger print so dummy,1,2025-04-27,Dashen Bank,Google Play
very nice,5,2025-04-26,Dashen Bank,Google Play
great,4,2025-04-26,Dashen Bank,Google Play
It is one of the best app ever use it and do it,5,2025-04-26,Dashen Bank,Google Play
"It is very slow and it lacks many features to be a super app. High rating is given by their employees, not by the customers.",1,2025-04-25,Dashen Bank,Google Play
"Smooth and secure experience transfers, bill payments, and tracking expenses are all effortless. The intuitive design makes banking on the go.",5,2025-04-24,Dashen Bank,Google Play
Very easy and Fast.,5,2025-04-24,Dashen Bank,Google Play
Incomparably user-friendly and fast app for mobile banking.,5,2025-04-24,Dashen Bank,Google Play
"there is nothing super about this app, repeatedly failed transaction and wastes customer valuable time. if you have to do system upgrade do it at a time when there is less traffic demand. your Technical difficulty should not be reflected on customer.",2,2025-04-24,Dashen Bank,Google Play
execellent,5,2025-04-24,Dashen Bank,Google Play
"This super app is a total game-changer—fast, reliable, and packed with everything I need in one place. It’s seamless and super convenient. Love it!""",5,2025-04-23,Dashen Bank,Google Play
All in One ✍️secure ✍️reliable ✍️convenient. Digital banking game changer!!,5,2025-04-23,Dashen Bank,Google Play
it is incredible product.,5,2025-04-23,Dashen Bank,Google Play
